no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,thermal comfort,thermal preference,season,date,time,room,ta,hr
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/23,09:00:00,5,24.2,62.6
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/23,09:30:00,5,25.1,60.4
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/23,10:00:00,5,25.9,57.6
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,0.0,1,0.0,0,2021/7/23,10:30:00,5,26.2,55.8
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/23,11:00:00,5,26.3,54.2
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/23,11:30:00,5,26.4,53.2
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/23,12:00:00,5,26.3,54.5
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/23,14:30:00,5,27.4,56.8
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/23,15:00:00,5,27.5,58.6
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/23,15:30:00,5,27.4,59.7
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/23,16:00:00,5,27.3,60.0
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/23,16:30:00,5,27.0,58.1
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/23,17:00:00,5,26.9,57.2
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/23,17:30:00,5,26.8,56.9
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/23,09:00:00,5,24.2,62.6
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/23,09:30:00,5,25.1,60.4
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,-1.0,0,2021/7/23,10:00:00,5,25.9,57.6
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,-1.0,0,2021/7/23,10:30:00,5,26.2,55.8
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/23,11:00:00,5,26.3,54.2
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/23,11:30:00,5,26.4,53.2
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,-1.0,0,2021/7/23,12:00:00,5,26.3,54.5
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,0,-1.0,0,2021/7/23,14:30:00,5,27.4,56.8
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,0,-1.0,0,2021/7/23,15:00:00,5,27.5,58.6
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,0,-1.0,0,2021/7/23,15:30:00,5,27.4,59.7
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/23,16:00:00,5,27.3,60.0
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,0.0,0,2021/7/23,16:30:00,5,27.0,58.1
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,0,-1.0,0,2021/7/23,17:00:00,5,26.9,57.2
4,1,24,183.0,80.0,23.89,0.96,1,1,1,2.0,0,-1.0,0,2021/7/23,17:30:00,5,26.8,56.9
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,0.0,0,2021/7/23,09:00:00,5,24.2,62.6
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,-1.0,0,2021/7/23,09:30:00,5,25.1,60.4
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,0.0,0,2021/7/23,10:00:00,5,25.9,57.6
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,-1.0,0,2021/7/23,10:30:00,5,26.2,55.8
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,0.0,0,2021/7/23,11:00:00,5,26.3,54.2
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,-1.0,0,2021/7/23,11:30:00,5,26.4,53.2
