no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,thermal sensation,thermal comfort,thermal preference,season,date,time,room,ta,hr
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1.8,0,1,winter,2021/1/16,10:00:00,5,23.5,19.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1.5,1,1,winter,2021/1/16,10:30:00,5,23.8,19.7
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1,1,1,winter,2021/1/16,11:00:00,5,24,19.8
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1.2,1,1,winter,2021/1/16,11:30:00,5,24.1,20.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1,1,1,winter,2021/1/16,12:00:00,5,24.2,20.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,2,0,1,winter,2021/1/16,14:30:00,5,23.9,18.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.7,1,1,winter,2021/1/16,15:00:00,5,24.5,18.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/16,15:30:00,5,25.1,18.7
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/16,16:00:00,5,25,19.9
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.1,1,2,winter,2021/1/16,16:30:00,5,24.9,20.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/16,17:00:00,5,24.9,20.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,-0.1,1,2,winter,2021/1/16,17:30:00,5,24.8,20.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1,1,1,winter,2021/1/16,9:00:00,5,22.8,16.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,2,0,1,winter,2021/1/16,9:30:00,5,23.2,18.3
1,1,23,173,71.4,23.86,-0.06,0,-1,1,-0.3,1,3,winter,2021/1/17,10:00:00,6,22,17.5
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,10:30:00,6,22.3,16.9
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,11:00:00,6,25.3,14.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,11:30:00,6,25.8,13.8
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,12:00:00,6,26.3,13.3
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1,0,1,winter,2021/1/17,14:30:00,6,27.3,11.6
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.5,1,1,winter,2021/1/17,15:00:00,6,25.5,13.8
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.2,1,1,winter,2021/1/17,15:30:00,6,25.3,14.2
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,16:00:00,6,25.4,14.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,16:30:00,6,25.3,14.3
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,17:00:00,6,25.2,14.6
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.2,1,1,winter,2021/1/17,17:30:00,6,24.9,14.7
1,1,23,173,71.4,23.86,-0.06,0,-1,1,-0.5,1,3,winter,2021/1/17,9:00:00,6,20.9,15.7
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,9:30:00,6,21.4,17.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,10:00:00,5,23.1,17.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.8,0,1,winter,2021/1/18,10:30:00,5,23.3,17.3
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,11:00:00,5,24.4,16.3
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,11:30:00,5,24.8,16.8
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,12:00:00,5,25.1,17
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1,0,1,winter,2021/1/18,14:30:00,5,25.8,14.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.6,0,1,winter,2021/1/18,15:00:00,5,25.4,16.3
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.2,1,1,winter,2021/1/18,15:30:00,5,25.3,17.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,16:00:00,5,25.2,18.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,16:30:00,5,25.1,18
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,17:00:00,5,25.1,18.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,17:30:00,5,25,18.9
1,1,23,173,71.4,23.86,-0.06,0,-1,1,-0.2,1,3,winter,2021/1/18,9:00:00,5,22.5,14.9
1,1,23,173,71.4,23.86,-0.06,0,-1,1,-0.2,1,3,winter,2021/1/18,9:30:00,5,22.9,16.7
2,1,21,176,56,18.08,1.02,2,0,-1,-2.1,0,1,summer,2021/7/21,9:00:00,5,23.7,58.9
2,1,21,176,56,18.08,1.02,2,0,-1,-1.7,0,1,summer,2021/7/21,9:30:00,5,24,57.4
2,1,21,176,56,18.08,1.02,2,0,-1,-2,0,1,summer,2021/7/21,10:00:00,5,25.4,53
2,1,21,176,56,18.08,1.02,2,0,-1,-1.8,0,1,summer,2021/7/21,10:30:00,5,25.4,51.2
2,1,21,176,56,18.08,1.02,2,0,-1,-1.5,1,1,summer,2021/7/21,11:00:00,5,25.6,51.8
2,1,21,176,56,18.08,1.02,2,0,-1,-1,1,0,summer,2021/7/21,11:30:00,5,25.5,50.4
2,1,21,176,56,18.08,1.02,2,0,-1,-1,1,0,summer,2021/7/21,12:00:00,5,25.4,49.5
2,1,21,176,56,18.08,1.02,2,0,-1,-0.5,1,0,summer,2021/7/22,9:00:00,5,24.4,59.6
2,1,21,176,56,18.08,1.02,2,0,-1,-0.2,1,0,summer,2021/7/22,9:30:00,5,24.6,59.3
2,1,21,176,56,18.08,1.02,2,0,-1,-0.3,1,0,summer,2021/7/22,10:00:00,5,24.6,59.1
2,1,21,176,56,18.08,1.02,2,0,-1,-0.5,1,0,summer,2021/7/22,10:30:00,5,24.7,59.4
2,1,21,176,56,18.08,1.02,2,0,-1,-0.2,1,0,summer,2021/7/22,11:00:00,5,25.3,60.4
2,1,21,176,56,18.08,1.02,2,0,-1,-0.2,1,0,summer,2021/7/22,11:30:00,5,25.6,59.8
2,1,21,176,56,18.08,1.02,2,0,-1,0,1,0,summer,2021/7/22,12:00:00,5,25.8,59.6
2,1,21,176,56,18.08,1.02,2,0,-1,0.6,0,-1,summer,2021/7/22,14:30:00,5,25.9,59
2,1,21,176,56,18.08,1.02,2,0,-1,1,0,-1,summer,2021/7/22,15:00:00,5,26.3,59.4
2,1,21,176,56,18.08,1.02,2,0,-1,1,0,-1,summer,2021/7/22,15:30:00,5,26.4,59.7
2,1,21,176,56,18.08,1.02,2,0,-1,0.6,0,-1,summer,2021/7/22,16:00:00,5,26.8,60.6
2,1,21,176,56,18.08,1.02,2,0,-1,1,0,-1,summer,2021/7/22,16:30:00,5,27,60.8
2,1,21,176,56,18.08,1.02,2,0,-1,0.7,1,-1,summer,2021/7/22,17:00:00,5,27,60.8
2,1,21,176,56,18.08,1.02,2,0,-1,0,1,-1,summer,2021/7/22,17:30:00,5,26.9,60.8
2,1,21,176,56,18.08,1.02,2,0,-1,0.3,1,-1,summer,2021/7/22,18:00:00,5,26.9,61.2
2,1,21,176,56,18.08,1.02,2,0,-1,-0.5,1,0,summer,2021/7/23,9:00:00,5,24.2,62.6
2,1,21,176,56,18.08,1.02,2,0,-1,-0.2,1,0,summer,2021/7/23,9:30:00,5,25.1,60.4
2,1,21,176,56,18.08,1.02,2,0,-1,-0.4,1,0,summer,2021/7/23,10:00:00,5,25.9,57.6
2,1,21,176,56,18.08,1.02,2,0,-1,-0.6,1,0,summer,2021/7/23,10:30:00,5,26.2,55.8
2,1,21,176,56,18.08,1.02,2,0,-1,-0.4,1,0,summer,2021/7/23,11:00:00,5,26.3,54.2
2,1,21,176,56,18.08,1.02,2,0,-1,-0.2,1,0,summer,2021/7/23,11:30:00,5,26.4,53.2
2,1,21,176,56,18.08,1.02,2,0,-1,-0.1,1,0,summer,2021/7/23,12:00:00,5,26.3,54.5
2,1,21,176,56,18.08,1.02,2,0,-1,1,0,-1,summer,2021/7/23,14:30:00,5,27.4,56.8
2,1,21,176,56,18.08,1.02,2,0,-1,1.3,0,-1,summer,2021/7/23,15:00:00,5,27.5,58.6
2,1,21,176,56,18.08,1.02,2,0,-1,1.6,0,-1,summer,2021/7/23,15:30:00,5,27.4,59.7
2,1,21,176,56,18.08,1.02,2,0,-1,1.4,0,-1,summer,2021/7/23,16:00:00,5,27.3,60
2,1,21,176,56,18.08,1.02,2,0,-1,1.5,0,-1,summer,2021/7/23,16:30:00,5,27,58.1
2,1,21,176,56,18.08,1.02,2,0,-1,1.6,0,-1,summer,2021/7/23,17:00:00,5,26.9,57.2
2,1,21,176,56,18.08,1.02,2,0,-1,1,0,-1,summer,2021/7/23,17:30:00,5,26.8,56.9
2,1,21,176,56,18.08,1.02,2,0,-1,0.2,1,0,summer,2021/7/23,18:00:00,5,26.7,56.5
2,1,21,176,56,18.08,1.02,2,0,-1,-0.8,1,0,summer,2021/7/24,9:00:00,5,23.7,53.6
2,1,21,176,56,18.08,1.02,2,0,-1,-1,1,0,summer,2021/7/24,9:30:00,5,23.9,54.8
2,1,21,176,56,18.08,1.02,2,0,-1,-1.2,1,0,summer,2021/7/24,10:00:00,5,24,54.1
2,1,21,176,56,18.08,1.02,2,0,-1,-1,1,0,summer,2021/7/24,10:30:00,5,24,53.7
2,1,21,176,56,18.08,1.02,2,0,-1,-0.8,1,0,summer,2021/7/24,11:00:00,5,24.1,53.6
2,1,21,176,56,18.08,1.02,2,0,-1,-0.2,1,0,summer,2021/7/24,11:30:00,5,25.4,54.1
2,1,21,176,56,18.08,1.02,2,0,-1,-0.1,1,0,summer,2021/7/24,12:00:00,5,25.7,55
2,1,21,176,56,18.08,1.02,2,0,-1,0,1,-1,summer,2021/7/24,14:30:00,5,25.6,60.3
2,1,21,176,56,18.08,1.02,2,0,-1,0.3,1,-1,summer,2021/7/24,15:00:00,5,26.1,60.3
2,1,21,176,56,18.08,1.02,2,0,-1,0.8,1,-1,summer,2021/7/24,15:30:00,5,26.4,60.7
2,1,21,176,56,18.08,1.02,2,0,-1,0.7,1,-1,summer,2021/7/24,16:00:00,5,26.6,61.9
2,1,21,176,56,18.08,1.02,2,0,-1,0.9,0,-1,summer,2021/7/24,16:30:00,5,26.9,61.4
2,1,21,176,56,18.08,1.02,2,0,-1,0.9,0,-1,summer,2021/7/24,17:00:00,5,27.1,61
2,1,21,176,56,18.08,1.02,2,0,-1,0.9,0,-1,summer,2021/7/24,17:30:00,5,27.2,60.9
2,1,21,176,56,18.08,1.02,2,0,-1,0.9,0,-1,summer,2021/7/24,18:00:00,5,27.2,60.6
2,1,21,176,56,18.08,1.02,2,0,-1,1.2,0,-1,summer,2021/7/26,9:00:00,6,27.6,62.3
2,1,21,176,56,18.08,1.02,2,0,-1,1.3,0,-1,summer,2021/7/26,9:30:00,6,27.9,62.4
2,1,21,176,56,18.08,1.02,2,0,-1,1.1,0,-1,summer,2021/7/26,10:00:00,6,28.1,61.2
2,1,21,176,56,18.08,1.02,2,0,-1,1.3,0,-1,summer,2021/7/26,10:30:00,6,28.3,61.5
2,1,21,176,56,18.08,1.02,2,0,-1,1,0,-1,summer,2021/7/26,11:00:00,6,27.9,62.1
2,1,21,176,56,18.08,1.02,2,0,-1,1.2,0,-1,summer,2021/7/26,11:30:00,6,27.8,62.1
2,1,21,176,56,18.08,1.02,2,0,-1,0.7,0,-1,summer,2021/7/26,12:00:00,6,27.7,62.3
2,1,21,176,56,18.08,1.02,2,0,-1,0,1,0,summer,2021/7/26,14:30:00,6,26.7,61.2
2,1,21,176,56,18.08,1.02,2,0,-1,-0.2,1,0,summer,2021/7/26,15:00:00,6,25.8,66.5
2,1,21,176,56,18.08,1.02,2,0,-1,-0.5,1,0,summer,2021/7/26,15:30:00,6,25.5,65.4
2,1,21,176,56,18.08,1.02,2,0,-1,-0.7,1,0,summer,2021/7/26,16:00:00,6,25,63.3
2,1,21,176,56,18.08,1.02,2,0,-1,-1,1,0,summer,2021/7/26,16:30:00,6,24.8,62.8
2,1,21,176,56,18.08,1.02,2,0,-1,-1.4,1,0,summer,2021/7/26,17:00:00,6,25,66.6
2,1,21,176,56,18.08,1.02,2,0,-1,-1.6,1,0,summer,2021/7/26,17:30:00,6,24.8,67.2
2,1,21,176,56,18.08,1.02,2,0,-1,-2.2,0,1,summer,2021/7/26,18:00:00,6,24.5,69.3
3,1,23,173,85,28.4,1.28,0,-1,0,-0.5,1,2,winter,2021/1/10,10:00:00,5,22.9,16.8
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/10,10:30:00,5,24,16.4
3,1,23,173,85,28.4,1.28,0,-1,0,0.8,1,2,winter,2021/1/10,11:00:00,5,24.6,16.3
3,1,23,173,85,28.4,1.28,0,-1,0,0.9,1,2,winter,2021/1/10,11:30:00,5,24.9,16.2
3,1,23,173,85,28.4,1.28,0,-1,0,1.2,1,1,winter,2021/1/10,12:00:00,5,25,16.3
3,1,23,173,85,28.4,1.28,0,-1,0,1,1,2,winter,2021/1/10,14:30:00,5,25.3,13.6
3,1,23,173,85,28.4,1.28,0,-1,0,1.2,1,1,winter,2021/1/10,15:00:00,5,25.4,14.7
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/10,15:30:00,5,25.7,15.2
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/10,16:00:00,5,25.3,15.9
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/10,16:30:00,5,25,16.5
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/10,17:00:00,5,24.9,16.8
3,1,23,173,85,28.4,1.28,0,-1,0,-0.2,1,2,winter,2021/1/10,17:30:00,5,24.7,16.8
3,1,23,173,85,28.4,1.28,0,-1,0,-0.5,1,2,winter,2021/1/10,9:00:00,5,22.2,15.7
3,1,23,173,85,28.4,1.28,0,-1,0,-0.5,1,2,winter,2021/1/10,9:30:00,5,22.6,16.3
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/13,10:00:00,5,22.9,16.6
3,1,23,173,85,28.4,1.28,0,-1,0,0.8,1,2,winter,2021/1/13,10:30:00,5,23.7,16.2
3,1,23,173,85,28.4,1.28,0,-1,0,0.7,1,2,winter,2021/1/13,11:00:00,5,24.3,16.4
3,1,23,173,85,28.4,1.28,0,-1,0,0.7,1,2,winter,2021/1/13,11:30:00,5,24.8,16.5
3,1,23,173,85,28.4,1.28,0,-1,0,0.6,1,2,winter,2021/1/13,12:00:00,5,25.1,16.5
3,1,23,173,85,28.4,1.28,0,-1,0,1.5,1,1,winter,2021/1/13,14:30:00,5,25.6,14.4
3,1,23,173,85,28.4,1.28,0,-1,0,2,0,1,winter,2021/1/13,15:00:00,5,25.8,15.2
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/13,15:30:00,5,25.9,16
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/13,16:00:00,5,25.6,17
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/13,16:30:00,5,25.4,17.4
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/13,17:00:00,5,25.3,18
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/13,17:30:00,5,25.2,18.4
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/13,9:00:00,5,22.2,15.3
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/13,9:30:00,5,22.6,16.3
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/16,10:00:00,5,23.5,19.1
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/16,10:30:00,5,23.8,19.7
3,1,23,173,85,28.4,1.28,0,-1,0,0.2,1,2,winter,2021/1/16,11:00:00,5,24,19.8
3,1,23,173,85,28.4,1.28,0,-1,0,0.1,1,2,winter,2021/1/16,11:30:00,5,24.1,20.1
3,1,23,173,85,28.4,1.28,0,-1,0,0.1,1,2,winter,2021/1/16,12:00:00,5,24.2,20.1
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/16,14:30:00,5,23.9,18.1
3,1,23,173,85,28.4,1.28,0,-1,0,1.5,0,1,winter,2021/1/16,15:00:00,5,24.5,18.1
3,1,23,173,85,28.4,1.28,0,-1,0,2,0,1,winter,2021/1/16,15:30:00,5,25.1,18.7
3,1,23,173,85,28.4,1.28,0,-1,0,1,0,1,winter,2021/1/16,16:00:00,5,25,19.9
3,1,23,173,85,28.4,1.28,0,-1,0,0.3,1,2,winter,2021/1/16,16:30:00,5,24.9,20.4
3,1,23,173,85,28.4,1.28,0,-1,0,0.3,1,2,winter,2021/1/16,17:00:00,5,24.9,20.4
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/16,17:30:00,5,24.8,20.1
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/16,9:00:00,5,22.8,16.4
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/16,9:30:00,5,23.2,18.3
3,1,23,173,85,28.4,1.28,0,-1,0,-0.2,1,2,winter,2021/1/17,10:00:00,5,22.8,14.1
3,1,23,173,85,28.4,1.28,0,-1,0,-0.2,1,2,winter,2021/1/17,10:30:00,5,23.1,14.7
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/17,11:00:00,5,24.1,14.1
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/17,11:30:00,5,24.6,14.1
3,1,23,173,85,28.4,1.28,0,-1,0,0.6,1,2,winter,2021/1/17,12:00:00,5,25,13.9
3,1,23,173,85,28.4,1.28,0,-1,0,1,1,1,winter,2021/1/17,14:30:00,5,25.8,13.3
3,1,23,173,85,28.4,1.28,0,-1,0,1,1,1,winter,2021/1/17,15:00:00,5,25.4,14.3
3,1,23,173,85,28.4,1.28,0,-1,0,0.8,1,2,winter,2021/1/17,15:30:00,5,25.2,14.9
3,1,23,173,85,28.4,1.28,0,-1,0,0.8,1,2,winter,2021/1/17,16:00:00,5,25.2,15.3
3,1,23,173,85,28.4,1.28,0,-1,0,0.7,1,2,winter,2021/1/17,16:30:00,5,25.1,15.7
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/17,17:00:00,5,25.1,16.1
3,1,23,173,85,28.4,1.28,0,-1,0,0.4,1,2,winter,2021/1/17,17:30:00,5,25,16.2
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/17,9:00:00,5,21.9,11.8
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/17,9:30:00,5,22.5,13.2
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/18,10:00:00,6,22.3,17.1
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/18,10:30:00,6,22.6,17.1
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/18,11:00:00,6,25.6,15.4
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/18,11:30:00,6,26.3,15
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/18,12:00:00,6,26.7,14.7
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,1,winter,2021/1/18,14:30:00,6,25,15.6
3,1,23,173,85,28.4,1.28,0,-1,0,1,1,2,winter,2021/1/18,15:00:00,6,25.1,16.2
3,1,23,173,85,28.4,1.28,0,-1,0,0.8,1,2,winter,2021/1/18,15:30:00,6,25.4,16.8
3,1,23,173,85,28.4,1.28,0,-1,0,0.7,1,2,winter,2021/1/18,16:00:00,6,25.5,17.1
3,1,23,173,85,28.4,1.28,0,-1,0,0.7,1,2,winter,2021/1/18,16:30:00,6,25.6,17.4
3,1,23,173,85,28.4,1.28,0,-1,0,0.6,1,2,winter,2021/1/18,17:00:00,6,25.4,17.9
3,1,23,173,85,28.4,1.28,0,-1,0,0.6,1,2,winter,2021/1/18,17:30:00,6,25.2,17.7
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/18,9:00:00,6,21.4,15.8
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/18,9:30:00,6,22,16.5
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/9,10:00:00,5,22.5,15.1
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/9,10:30:00,5,23.2,14.4
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/9,11:00:00,5,23.9,14.4
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/9,11:30:00,5,24.4,14.3
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/9,12:00:00,5,24.8,14.3
3,1,23,173,85,28.4,1.28,0,-1,0,0.5,1,2,winter,2021/1/9,14:30:00,5,24.9,13.5
3,1,23,173,85,28.4,1.28,0,-1,0,1,1,1,winter,2021/1/9,15:00:00,5,25.2,14.1
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/9,15:30:00,5,24.8,14.9
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/9,16:00:00,5,24.5,15.5
3,1,23,173,85,28.4,1.28,0,-1,0,-0.5,1,2,winter,2021/1/9,16:30:00,5,24.3,15.8
3,1,23,173,85,28.4,1.28,0,-1,0,0,1,2,winter,2021/1/9,17:00:00,5,24.4,16.1
3,1,23,173,85,28.4,1.28,0,-1,0,-0.5,1,2,winter,2021/1/9,17:30:00,5,24.4,16.2
3,1,23,173,85,28.4,1.28,0,-1,0,-1,1,3,winter,2021/1/9,9:00:00,5,21.5,13.9
3,1,23,173,85,28.4,1.28,0,-1,0,-1,1,3,winter,2021/1/9,9:30:00,5,22,14.8
4,1,24,183,80,23.89,0.96,1,1,1,1,1,-1,summer,2021/7/20,9:00:00,5,27.9,56.4
4,1,24,183,80,23.89,0.96,1,1,1,3,0,-1,summer,2021/7/20,9:30:00,5,28.1,58.7
4,1,24,183,80,23.89,0.96,1,1,1,3,0,-1,summer,2021/7/20,10:00:00,5,28.4,59.9
4,1,24,183,80,23.89,0.96,1,1,1,2,1,-1,summer,2021/7/20,10:30:00,5,28.4,61.5
4,1,24,183,80,23.89,0.96,1,1,1,1,1,-1,summer,2021/7/20,11:00:00,5,27.5,63.3
4,1,24,183,80,23.89,0.96,1,1,1,1,1,-1,summer,2021/7/20,11:30:00,5,27.3,62.6
4,1,24,183,80,23.89,0.96,1,1,1,1,1,-1,summer,2021/7/20,12:00:00,5,27.1,61.8
4,1,24,183,80,23.89,0.96,1,1,1,0.5,1,-1,summer,2021/7/20,14:30:00,5,26.2,62
4,1,24,183,80,23.89,0.96,1,1,1,1.5,1,-1,summer,2021/7/20,15:00:00,5,26.8,60.6
4,1,24,183,80,23.89,0.96,1,1,1,1.5,1,-1,summer,2021/7/20,15:30:00,5,26.8,60.6
4,1,24,183,80,23.89,0.96,1,1,1,0.5,1,-1,summer,2021/7/20,16:00:00,5,25.2,62.2
4,1,24,183,80,23.89,0.96,1,1,1,1,1,-1,summer,2021/7/20,16:30:00,5,24.7,58.5
4,1,24,183,80,23.89,0.96,1,1,1,0.5,1,-1,summer,2021/7/20,17:00:00,5,24.7,58.2
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/20,17:30:00,5,24.5,56.8
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/20,18:00:00,5,25,55.4
4,1,24,183,80,23.89,0.96,1,1,1,-0.5,1,1,summer,2021/7/21,9:00:00,5,23.7,58.9
4,1,24,183,80,23.89,0.96,1,1,1,-1,0,1,summer,2021/7/21,9:30:00,5,24,57.4
4,1,24,183,80,23.89,0.96,1,1,1,-1,0,1,summer,2021/7/21,10:00:00,5,25.4,53
4,1,24,183,80,23.89,0.96,1,1,1,-1,0,1,summer,2021/7/21,10:30:00,5,25.4,51.2
4,1,24,183,80,23.89,0.96,1,1,1,-2,0,1,summer,2021/7/21,11:00:00,5,25.6,51.8
4,1,24,183,80,23.89,0.96,1,1,1,-2,0,1,summer,2021/7/21,11:30:00,5,25.5,50.4
4,1,24,183,80,23.89,0.96,1,1,1,-2,0,1,summer,2021/7/21,12:00:00,5,25.4,49.5
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/22,9:00:00,5,24.4,59.6
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/22,9:30:00,5,24.6,59.3
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/22,10:00:00,5,24.6,59.1
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/22,10:30:00,5,24.7,59.4
4,1,24,183,80,23.89,0.96,1,1,1,1,1,-1,summer,2021/7/22,11:00:00,5,25.3,60.4
4,1,24,183,80,23.89,0.96,1,1,1,1,1,-1,summer,2021/7/22,11:30:00,5,25.6,59.8
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/22,12:00:00,5,25.8,59.6
4,1,24,183,80,23.89,0.96,1,1,1,1,0,-1,summer,2021/7/22,14:30:00,5,25.9,59
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/22,15:00:00,5,26.3,59.4
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/22,15:30:00,5,26.4,59.7
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/22,16:00:00,5,26.8,60.6
4,1,24,183,80,23.89,0.96,1,1,1,1,0,0,summer,2021/7/22,16:30:00,5,27,60.8
4,1,24,183,80,23.89,0.96,1,1,1,0.8,1,0,summer,2021/7/22,17:00:00,5,27,60.8
4,1,24,183,80,23.89,0.96,1,1,1,0.5,1,0,summer,2021/7/22,17:30:00,5,26.9,60.8
4,1,24,183,80,23.89,0.96,1,1,1,0.3,1,0,summer,2021/7/22,18:00:00,5,26.9,61.2
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/23,9:00:00,5,24.2,62.6
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/23,9:30:00,5,25.1,60.4
4,1,24,183,80,23.89,0.96,1,1,1,0.5,1,-1,summer,2021/7/23,10:00:00,5,25.9,57.6
4,1,24,183,80,23.89,0.96,1,1,1,0.5,1,-1,summer,2021/7/23,10:30:00,5,26.2,55.8
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/23,11:00:00,5,26.3,54.2
4,1,24,183,80,23.89,0.96,1,1,1,0,1,0,summer,2021/7/23,11:30:00,5,26.4,53.2
4,1,24,183,80,23.89,0.96,1,1,1,0.5,1,-1,summer,2021/7/23,12:00:00,5,26.3,54.5
4,1,24,183,80,23.89,0.96,1,1,1,1,0,-1,summer,2021/7/23,14:30:00,5,27.4,56.8
