no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,thermal comfort,thermal preference,season,date,time,room,ta,hr
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,0.0,1,3.0,1,2021/1/13,09:00:00,6,24.5,12.5
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,1.0,1,2.0,1,2021/1/13,09:30:00,6,26.1,12.5
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,2.0,1,1.0,1,2021/1/13,10:00:00,6,26.5,13.1
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,1.0,1,2.0,1,2021/1/13,10:30:00,6,24.7,14.5
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,1.0,1,2.0,1,2021/1/13,11:00:00,6,24.3,15.2
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,1.0,1,2.0,1,2021/1/13,11:30:00,6,24.1,15.6
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,1.0,1,2.0,1,2021/1/13,12:00:00,6,24.1,15.9
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,1.0,1,2.0,1,2021/1/13,14:30:00,6,24.5,14.9
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,1.0,1,2.0,1,2021/1/13,15:00:00,6,24.9,15.0
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,2.0,1,1.0,1,2021/1/13,15:30:00,6,25.2,15.5
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,2.0,1,1.0,1,2021/1/13,16:00:00,6,25.4,15.5
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,2.0,1,1.0,1,2021/1/13,16:30:00,6,25.5,15.7
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,1.0,1,2.0,1,2021/1/13,17:00:00,6,25.3,16.0
6,1,24,175.0,68.0,22.2,0.65,0,-1,1,2.0,1,2.0,1,2021/1/13,17:30:00,6,25.1,16.0
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/13,09:00:00,5,22.2,15.3
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/13,09:30:00,5,22.6,16.3
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/13,10:00:00,5,22.9,16.6
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/13,10:30:00,5,23.7,16.2
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/13,11:00:00,5,24.3,16.4
