no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,thermal comfort,thermal preference,season,date,time,room,ta,hr
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,0.0,1,0.0,0,2021/7/24,09:00:00,5,23.7,53.6
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,0.0,1,0.0,0,2021/7/24,09:30:00,5,23.9,54.8
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,0.0,1,0.0,0,2021/7/24,10:00:00,5,24.0,54.1
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,0.0,1,0.0,0,2021/7/24,10:30:00,5,24.0,53.7
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,0.0,1,0.0,0,2021/7/24,11:00:00,5,24.1,53.6
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/24,11:30:00,5,25.4,54.1
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,0.0,0,2021/7/24,12:00:00,5,25.7,55.0
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,-1.0,0,2021/7/24,14:30:00,5,25.6,60.3
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,1.0,1,-1.0,0,2021/7/24,15:00:00,5,26.1,60.3
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,1,-1.0,0,2021/7/24,15:30:00,5,26.4,60.7
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,1,-1.0,0,2021/7/24,16:00:00,5,26.6,61.9
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/24,16:30:00,5,26.9,61.4
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/24,17:00:00,5,27.1,61.0
2,1,21,176.0,56.0,18.08,1.02,2,0,-1,2.0,0,-1.0,0,2021/7/24,17:30:00,5,27.2,60.9
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,0.0,0,2021/7/24,09:00:00,5,23.7,53.6
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,0.0,0,2021/7/24,09:30:00,5,23.9,54.8
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,0.0,0,2021/7/24,10:00:00,5,24.0,54.1
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,1.0,0,2021/7/24,10:30:00,5,24.0,53.7
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,0.0,0,2021/7/24,11:00:00,5,24.1,53.6
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,0.0,0,2021/7/24,11:30:00,5,25.4,54.1
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,0.0,0,2021/7/24,12:00:00,5,25.7,55.0
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,-1.0,0,2021/7/24,14:30:00,5,25.6,60.3
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,-1.0,0,2021/7/24,15:00:00,5,26.1,60.3
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,-1.0,0,2021/7/24,15:30:00,5,26.4,60.7
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,2.0,0,-1.0,0,2021/7/24,16:00:00,5,26.6,61.9
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,2.0,0,-1.0,0,2021/7/24,16:30:00,5,26.9,61.4
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,-1.0,0,2021/7/24,17:00:00,5,27.1,61.0
7,1,24,183.0,78.0,23.29,2.37,1,-1,-1,1.0,1,-1.0,0,2021/7/24,17:30:00,5,27.2,60.9
8,0,28,168.0,54.0,19.13,0.49,1,0,1,1.0,1,0.0,0,2021/7/24,09:00:00,5,23.7,53.6
8,0,28,168.0,54.0,19.13,0.49,1,0,1,1.0,1,0.0,0,2021/7/24,09:30:00,5,23.9,54.8
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,1,0.0,0,2021/7/24,10:00:00,5,24.0,54.1
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,0,1.0,0,2021/7/24,10:30:00,5,24.0,53.7
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,0,1.0,0,2021/7/24,11:00:00,5,24.1,53.6
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,1,1.0,0,2021/7/24,11:30:00,5,25.4,54.1
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,1,0.0,0,2021/7/24,12:00:00,5,25.7,55.0
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,0,-1.0,0,2021/7/24,14:30:00,5,25.6,60.3
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,1,-1.0,0,2021/7/24,15:00:00,5,26.1,60.3
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,1,-1.0,0,2021/7/24,15:30:00,5,26.4,60.7
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,1,-1.0,0,2021/7/24,16:00:00,5,26.6,61.9
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,0,-1.0,0,2021/7/24,16:30:00,5,26.9,61.4
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,0,-1.0,0,2021/7/24,17:00:00,5,27.1,61.0
8,0,28,168.0,54.0,19.13,0.49,1,0,1,2.0,0,-1.0,0,2021/7/24,17:30:00,5,27.2,60.9
13,1,23,175.0,60.0,19.59,1.68,1,0,-1,1.0,1,0.0,0,2021/7/24,09:00:00,5,23.7,53.6
13,1,23,175.0,60.0,19.59,1.68,1,0,-1,1.0,1,0.0,0,2021/7/24,09:30:00,5,23.9,54.8
13,1,23,175.0,60.0,19.59,1.68,1,0,-1,1.0,1,0.0,0,2021/7/24,10:00:00,5,24.0,54.1
13,1,23,175.0,60.0,19.59,1.68,1,0,-1,1.0,1,0.0,0,2021/7/24,10:30:00,5,24.0,53.7
13,1,23,175.0,60.0,19.59,1.68,1,0,-1,1.0,1,0.0,0,2021/7/24,11:00:00,5,24.1,53.6
